"﻿英文",中文,备注
margin,n 页边的空白，边缘；优势；利润；水域边缘，边隅；余地，备用时间；外边界,
thoughtful,n 体贴的 沉思的 缜密思考过 深思熟虑的,
pest,n 讨厌的人；害虫,
accustom,v 使习惯于,
humanity,n 人性；人类；人道；慈爱；人文学科（复数）,
geographical,adj 地理的，地理学的,
availability,n 可得性 可用性 可得到的人 有效性 实用性,
dye,v 染，染色；n染料，染液,
glaciation,n 冰川作用,
affection,n 感情；喜爱，爱慕；作用，影响；疾病,
aluminum,n 铝,
feather,n 羽毛,
niche,n 壁龛，合适的职业，生活方式，市场，上级，生态位； v 放在合适的位置,
institute,n 学会 学院 专科学院 学院 机构建筑 vt 建立 设定 制定,
fossilize,v 使成化石；使陈腐；使僵化；使固定不变,
velocity,n 速度,
boast,v 吹嘘；夸耀； n 夸耀,
barb,n 箭头鱼钩等的倒钩；伤人的话；v 装倒钩于；adj 具倒刺的；带刺的,
torque,n 转矩 扭矩,
delight,n 快乐 高兴事； v使快乐；享受,
foliage,n 叶子,
hazard,n 危害，公害，危险的事务；机会 v 使冒险，冒险做,
advocate,v 提倡，主张，为…辩护,
influential,adj 有极大影响力的；有支配力的；n 有影响力的任务,
powder,n 粉末；火药；细雪； v 抹粉；撒粉于，使变成粉,
density,n 密集，稠密；密度,
motivation,n 动力,
designate,adj 指定，选定，委派，任命；标明，标示；指明；指定，划定；adj 已受委派而尚未上任的,
elaborately,adv 苦心经营地；精巧地；苦心经营地,
canal,n 运河，河流,
moral,adj 道德上的，道义的；n 道德，品行； 寓意,
accurate,adj 正确的，符合标准的，准确的，精密的，精确的,
midair,n 半空中；adj 半空中的,
stability,n 稳定，稳定性，稳固性，坚定，恒心,
snap,v 使咔嚓一声折断，拍照摄影，啪嗒一声关掉打开 n 啪嗒声 关掉 adj 仓促的,
proof,n 证据，证明；检验；校样；v校对；实验；给…做防护措施；adj 防…的；能抵御；能防护,
facilitate,vt 为他人提供方便；使便利；促使,
tornado,n 龙卷风,
coarse,adj 粗糙的，粗鲁的；粗俗的；下等的；粗劣的；粗的，大颗粒的,
incise,n 雕刻,
domesticate,vt 使习惯于家庭生活；驯养，驯化；引进,
capillary,n 毛细血管 adj 毛细血管的 毛状的,
Pullman,n 普尔门式火车卧铺车,
leisure,n 闲暇 休闲 adj 空闲的,
regulation,n 规章，法规，条例；管理；章程；调整，调节,
episode,n 连续剧的一集，事件，经历，片段，插曲,
weave,v 编织 织 编进 织布 迂回行进 n 织法 织物,
voyager,n航行者,
vocation,n 职业 行业 天职 使命,
negative,adj 消极的，负面的；否定的 n 否定,
journalism,n 新闻业,
analogy,n 比拟，比喻，类比，相似，类似,
capilary,n 毛细血管 adj 毛细血管的；毛状的,
perception,n 洞察力 理解力 观念 看法 认知 感知,
congress,n 国会，代表大会，议会；立法机关,
Persian,n 波斯人；adj 波斯的,
leather,n 皮革，皮制品 vt 用皮鞭抽打；用皮革覆盖；皮衣，皮外套,
plutonic,adj 深层岩体的，冥王星的,
comparable,adj 类似的，比得上的，可比较的,
archaic,adj 古代的；陈久的，过时的，老式的；古代的,
aircraft,n 飞行，航空器,
conclusion,n 结论,
aviculturist,n 从事鸟类饲养的人，养鸟的人,
stimulus,n 鼓励；刺激物；促进因素,
association,n 结合；伙伴，关系；协会，联盟，社团；协会,
territory,n 地区，领土；版图；领域；范围；属地,
magnetic,adj 有磁性的；有吸引力的；可磁化的,
incubation,n 孵化，孵卵，酝酿，培育，潜伏期,insulation是绝缘 隔绝的意思
tunnel,n 隧道，地道，地下通道；v 挖地道,
harpsichord,n 键琴,
erode,v 腐蚀，侵蚀；削弱；损害,
sieve,n筛子，粗蓝； v 筛，滤,
impulse,n 冲动；脉冲；驱使,
opposite,adj 相反的 对立的 对面的  adv 对立地 反面地  n 反面 对立面 对立物对立的人 反义词  prep 与某相对 与某合演,
fusion,n 融合，合并；核聚变；融合物,
periphery,n外围，不重要的部份,
plain,adj 朴素的，不做修饰的,
preservation,n 保护，保存,
tablet,n 药片；便签簿；平板电脑；碑；牌匾；小块；写字板,
aragonite,n 霰石,
turbine,n 汽轮机，叶轮机,
luncheon,n 午宴,
threat,n 恐吓 威胁 凶兆 威胁的言论,
interpret,v 口译，解释； vt 把…理解为,
potential,n 潜力，潜能，可能性； adj 潜在的，可能的,
advertise,v 为。。。做广告；公告，公布；宣告,会与adverse（adj 阻止 阻碍 不利）搞混
fertilizer,n 肥料，化肥,
economic,adj 经济上的，经济学的，合算的，有利可图的,经常与ecologic（生态的）搞混
opportunistic,adj 投机取巧的，机会主义的,
impressionism,n 印象派，印象主义,ism名词后缀表示。。。主义
extermination,n 灭绝，根除，消灭,
aristocrat,n 贵族,
fare,n 交通费；票价；食物；出租车乘客； v 事情进行的好坏,
localize,v 使地方话，局部话，停留在一个地方；定位,
radius,n 半径 范围,
insulation,n 隔离；绝缘,不知道为什么老会搞成insolution
cramp,n 痉挛；绞痛；铁夹钳； v束缚，限制，使抽筋；以铁箍扣紧,
democrat,n 民主党人 民主主义 民主人士,
colleague,n 同事；同行,
tube,n 管子，管道；隧道；地铁，电视,
putrefy,v 使腐烂，堕落,
emergece,n 冒出；出现；浮现；发生,
affect,v 影响；深深打动；侵袭； n 情感，心情；情绪反应,
efficiency,n 效率；功效；功率；性能,
exact,adj 确切的；精密的；严谨的；v 强求,
dramatic,adj 巨大的，突然的，急剧的；戏剧的；引人注目的，逼真的，刺激的；激动人心的，给人印象深刻的。,
constitute,vt 构成，组成；任命； v 是，被算作,
lure,v 引诱，以诱饵勾引； n诱惑力；诱惑物；鱼饵,
border,n 边界；边沿；国界；边境地区； v 近似；毗邻；与…接壤；为…镶边,
vine,n 藤蔓；葡萄属植物；葡萄藤,
revise,v 修订；修改；温习,
providence,n 天意，上帝，神的眷顾；深谋远虑,
disseminate,v 宣传；传播；散布；,
gibbon,n 长臂猿,
consequence,n 结果 后果 重要性,
terrace,n 阳台，走廊；梯田 adj 梯形的； vi 成阶梯的； vt 使成梯田,
deficiency,n 不足，缺乏；缺陷,中文解释与单词老对应不起来
advent,n 来临，到来，出现；,
conserve,v 保护 保存 节约 n 蜜饯 果酱,
norm,n 准则；模范；规范；标准，平均数，常态，平常事务,
contradictory,adj 相互矛盾的，对立的；反驳的，爱争辩的 n 矛盾命题,
throughout,prep 在…期间，在整个时期；遍及，自始至终；到处；遍及，到处,
spectator,n 旁观者；观众；目击者,
wire,n 电线，电缆，导线，金属丝； vi 拍电报；接通电源； vt 给…接电线；将…连接到,
portray,v 描述；描绘；扮演,
arduous,adj 艰巨的 努力的 陡峭的,
tendency,n 趋向，趋势，倾向；癖好，意向；派别,
nerve,n 神经；胆量，勇气,
irrigation,n 灌溉,
proterozoic,n 原生代 adj 原生代的,
sediment,n 沉渣；沉淀物，沉淀；地理沉积物,
combustion,n 燃烧,
represent,v 象征；代表；表示；描述，展现；阐明；说明；演绎；表达；相当于,
effectiveness,n 有效性；效果；效力,
quarry,n 采石场；猎物；来源 v 挖出；努力挖掘,
madder,n 茜草属的植物；人造茜草燃料；茜草色,
longevity,n 长寿，长命；寿命,
meadow,n 草地,
primary,adj 初等教育的；主要的，基本的，首要的；最初的，初级的；小学教育的； n 首选；初选原色；初级线圈,
pottery,n 陶艺；陶艺厂,
nucleus,n 原子核 核心 细胞核,
individualism,n 个人主义；不干涉主义,
cavity,n 洞；龋洞,
realization,n 认识 领会 领悟实现,
archaeocyte,n 原细胞,aeo的顺序会搞错
predatory,adj 捕食生物的，掠夺的,
resistance,n 阻力；抵抗；抵制；抵抗力；电阻；反对；抗拒,
despondent,adj 失望的，意气消沉的，没有精神的,
encounter,v 邂逅 偶遇 遭遇； n偶然碰见，遭遇；相遇；邂逅,
illumination,n 照明,
essential,adj 必不可少的 极其重要的 本质的 重要的 基本的 n 要素 必需品,
feasible,adj 可行的，行得通,
elaborately,adv 苦心经营地；精巧的；,
commercially,adv 商业上,
celsius,adj 摄氏的；摄氏度,
terrestrial,adj 地球的，陆地的 n 地球上的人,
slope,n 斜坡；山坡；斜度；坡度； v 倾斜；成斜坡,
integrity,n 正直；真诚,
nomadic,adj 游牧的；流浪的；游动的,
ascent,n 攀登；上坡；上升；提升,
emergence,n 冒出 出现 浮现 发生,
purchase,vt 购买；采购 n 购买；购买的东西,
tundra,n 冻土地带,
monument,n 纪念碑；历史遗址；遗址,
roost,n 鸟巢，巢穴； vi 栖息,
substance,n  物资，实质；,
crust,n 外壳，面包皮，硬外皮,少拼了个r
cosmic,adj 宇宙的；广大无边的,
plateau,n 高原；稳定阶段； vi 到达平稳阶段,
fragile,adj 易碎的 易损坏的 虚弱的，脆弱的,
engine,n 引擎，发动机,
distinct,adj 截然不同的；独特的；明显的；清晰的；确切的，确定无误的,
diversion,n 绕行路，转移，改变方向；分心，消遣，分水渠,
ore,n 矿石；矿砂，矿，矿石,
parade,n 游行 检阅 v 游行，列队行进 炫耀,
gender,n 性 ，性别，,
tract,n 道，束；一大片地；短文，小册子,
virtue,n 美德，高尚的道德；正直，善良；德行；好处，优点；优秀品质；,
disguise,v 伪装；掩饰，掩盖；装扮，假扮,
slice,v 把，，，切成片；大幅度削减；切开；n 薄片；份额，部分,
squeeze,v 挤压；挤进，塞进；用力挤压咋去；减少，压缩；捏；挤出时间；n 榨，压榨，挤，塞；挤压；困境,
arousal,n 觉醒，激励，唤起,
mysterious,adj 神秘的，难以理解的,
carbonic,adj 碳的，由碳得到的,
energetic,adj 精力充沛的；充满活力的；有力的，积极的,
mussel,n 蚌类,
mechanical,adj 机械的，机械学的，机械性的；发动机的；机器的；机械似的，呆板的,
maintain,vt 维护，维修；保持，维持；断言，宣称；供养，赡养,
sedentary,adj 久坐不动的，静止的，定居,
rotation,n 旋转；循环，轮流,
deterioration,n 变坏，退化，恶化； 堕落,老不记得怎么读
mold,vt 塑造；使形成； v 把…塑造成；n霉菌；模子；气质,
concur,v 同意，赞成，赞同,
awareness,n 意识；明白，知道；觉察；觉悟,
prominent,adj 突起的；突出的；显眼的；杰出的,
organism,n 有机体 ；生物；有机的组织,
hostile,adj 敌对的，敌方的；怀有敌意的；生长环境恶劣的；不受欢迎的,
recognition,n 承认 认可,
revere,v 敬畏；崇敬；尊敬,
bind,v 捆绑；装订；约束；结合；n 窘境，困境；讨厌的事情；捆绑；植物的藤蔓,
sensitivity,n 敏感，灵敏性,
hieroglyphic,adj 象形文字的； n 象形文字，象形文字写成的文章,ly老读错
psychological,adj 心理的，心理学的,
immigration,n 移民；移居入境,
presidency,n 总统的职位,
beam,n 光线；大梁；横梁；v 发光，照射；微笑；发射，boss；用梁支撑,
structure,n 建筑物，结构，构造，体系，组织 vt 精心组织，系统安排，建筑，建造 v 赋予结构 使形成结构,
concrete,n 混凝土； adj 混凝土制的；确实的；具体的； v 给…浇混凝土,
penetrate,v 刺穿，穿透；进入,
inspiration,n 灵感；鼓舞人心的人或事儿；妙计，好办法；激励，鼓舞,
presence,n 风度，仪态，出席，到场；存在，幽灵，鬼魂,
organic,adj 有机的 不使用化肥的 有机物的 器官的 n 有机物,
unique,adj 独一无二的，独特的，唯一的，特有的，不同寻常的,
circulation,n 流传，传播；发行，发行量；,
pheromone,n 外激素，信息素,
reef,n 礁,
diameter,n 直径,
upcoming,adj 即将来临的,
flexible,adj 易弯曲的，柔软的，灵活的，可变通的,
stagnant,adj 不流动的；停滞的；萧条的,
inhabitant,n  居民 住户 栖息的动物,
attentive,adj 专心的，注意的,
weed,n 杂草，野草；水草；海藻；v 除杂草,
intoxication,n 醉酒；陶醉,
telescope,n 望远镜；v 叠缩；缩短；精简；套入；压缩 adj 套筒的，伸缩式的,
accumulate,vt 积攒； vi 聚积，数量逐渐增加,
kestrel,n 茶隼,
commission,n 委员会，正式委托，佣金，任务，权限，委任； v 委任；正式委托,
silicon,n 硅,
dominant,adj 主要的，占优势的，显性基因的，统治的，支配的，显著的,
dissolve,v 溶解；解散；消除，消失,
unity,n 团结；一致；统一体,unity；unique；un…..搞混了
impact,n 影响；强大作用；冲击力；碰撞，冲击； v 碰撞，冲击；压紧；影响，有影响,
continental,adj 大陆的，大陆性的 n 欧洲人,
pry,v 刺探，打探，撬开；n 窥探，杠杆，爱打听的人,
navigation,n 导航，航行，航海,
grandiose,adj 宏伟的 浮夸的 宏大的,
occurrence,n 发生，出现,
octopus,n 章鱼,
plankton,n 浮游生物,
indication,n 迹象；指示,
dependant,adj 依赖的，取决于的，附属的，悬垂的；n 依赖他人者，受经济援助的,
strain,n 负担 压力，紧张，拉力拉伤，品种，种类，血缘 v 拉紧劳累，过度使用，扭伤，努力做,
diversity,n 多样性；差异；不同,
hypothalamus,n 下丘脑,
vapor,n 水蒸气；雾气； v 蒸发，气化,
feat,n 绝技 功绩 武艺,
various,adj 各种各样的；不同的,
demonstrate,v 演示 暂时；论证；示范；示威；表现，表达；说明；证明,
imitative,adj 模仿的，防制的,
sketch,n 素描，梗概，速写，短文，短剧，草图；v 速写，打草稿，画素描，简述，描绘略图，写生,
commerce,n 商业，贸易,
sophisticated,adj 精密的 复杂的 老练的 高雅时髦的 很有品味的,
instinct,n 本能 天分 天性 天资 直觉,
synthetic,adj 合成的，人造的；综合型的，综合性的，借助此为变化表示语法关系的,
formal,adj 正式的 正规的 规范的 形式上的 礼节上的,
contour,n 轮廓 等高线 概要； vt 画轮廓，画等高线； adj 等高线的，与轮廓相符合的,
meteoric,adj 流行的，突然的，转瞬即逝的,
pollutant,n 污染物质；污染源 adj 造成污染的；受污染的,
tribal,adj 部落的；部落成员,
frost,n 霜冻，严寒，霜； v 撒上糖霜；结霜,
prevail,v 流行，普遍存在；战胜,
drought,n 干旱，旱灾,
fade,vi 褪色，褪去；失去；逐渐消失； vt 使褪色； v 变得虚弱 衰老； n 淡出 淡入； 乏味的,
architectural,adj 建筑上的，建筑学的,architecture n 建筑
representation,n 代表；象征；表现，呈现；陈述；抗议,
descendant,n 后裔，后代；派生物,
algae,n 藻类,
peninsula,n 半岛,
contrary,adj 对立的，相反的；叛逆的；矛盾的；n 相反，相反的事实,
nectar,"n 花蜜，甘露 ",
strategy,n 策略，计谋；策划；部署；统筹安排,经常忘记怎么读的
transparent,adj 透明的，清澈的，显而易见的，公开的，受公众监督的，易懂的，易识破的,
stimulate,v 激发，促进；刺激（身体部位等）；激励，鼓舞,
immune,adj 免疫的；不受影响的；免除的,
narrative,n 叙述；故事；adj 叙述的,
stamp,n 印章 邮票 图章 跺脚 印记 v 盖印 贴邮票于 毁掉 标出 表示 跺脚 盖上,
era,n 时代；纪元；年代,
reflection,n 反射；映像；反映；反省，沉思；想法,
mule,n 骡子；杂交动物；固执的人,
sap,n 树液，汁液,
fodder,n 饲料 草料 素材 弹药 v 喂,
restrict,vt 限制，约束,
devise,v 设计，想出，遗产 n 设计，发明，遗赠,
humidity,n 潮湿 湿度,
greedy,adj 贪婪的，贪心的，贪吃的,
geologic,adj 地质学的，地质的,
implication,n 暗示；含义；牵连；卷入,
cuneiform,adj 楔形的，楔形文字的；n 楔形文字，楔状骨,
flake,n 薄片； v 使成薄片；剥落；雪片般落下,
progressively,adv 渐进地；日益增多的,
aggravating,adj 恼人的；恶化的,
ecological,n 生态的，生态学的,
silt,n 淤泥，泥沙；v 淤塞,
commonsense,adj 常识的 n 常识,
triple,adj 三倍的 v 使成三倍；三倍于,
staple,vt 用订书钉钉； n订书钉； 主食；主要产品； adj 主要的；基本的,
amount,n 数量 v 总计,
intricate,adj 错综复杂的；复杂精细的,
court,n 法院，法庭；球场； v 招致灾祸,
optimal,adj 最佳的 理想的,
entertainment,n 娱乐 招待 款待 文娱节目,
relic,n 遗迹；神圣的遗物；纪念物,
iridium,n 铱,
deposition,n 证言，沉积物，矿床，革职,
wagon,n 货运马车，运货车；敞篷车厢；四轮运货车,
varves,n 纹泥 冲击层,
revolution,n 革命；旋转,
auditorium,n 讲堂；听众席；礼堂,
seep,v 渗透 渗入 扩散 n 小泉水陆两用吉普车,
intensity,n 强度；强烈，剧烈,
tension,n 紧张，不安；拉紧；张力；电压；焦虑；紧张局面；矛盾，对立；v紧绷,
propulsion,n 推进力,
prestige,n 声望，威望,
universal,adj 普遍的；全体的；广泛适用的；宇宙的；n 普遍原则,
intelligence,n 智力；情报；理解力；智能；智慧,
desired,adj 命中注定的；以…为目的的,
investigator,n 侦查员 调查者,
canopy,n 顶棚 华盖 天棚 苍穹 树冠层 树荫 v 用天蓬遮盖，遮蔽,
perceive,v 意识到；看待，理解；感知，觉察；认为，认知,
vent,n 通风口，排气口，发泄； 上衣背部或两侧的开叉；小型动物的排泄口 v 发泄情绪；泄漏,
resilience,n 恢复力；还原能力，弹力；顺应力,
agrarain,adj 耕地的,
fortuitous,adj 幸运的,
impose,v 把…强行给；强制执行；强迫接受,
consume,vt 消耗，消费；吃，喝，饮；毁灭,
symptom,n 症状 征兆,
circumstance,n 情况；条件；客观环境；处境；环境,
midieval,adj 中世纪的，中古时代的,
dimension,n 维度，尺寸，尺度，方面，规模，范围,